"signature_date";"system_object_id";"global_id";"ALFA3";"SHORTNAME";"FULLNAME";"ALFA2";"CODE";
"21.09.2016 15:39:59";"076";"273330190";"BRA";"БРАЗИЛИЯ";"Федеративная Республика Бразилия";"BR";"076";
"21.09.2016 15:40:00";"084";"273330191";"BLZ";"БЕЛИЗ";"";"BZ";"084";
"21.09.2016 15:40:01";"086";"273330192";"IOT";"БРИТАНСКАЯ ТЕРРИТОРИЯ В ИНДИЙСКОМ ОКЕАНЕ";"";"IO";"086";
"21.09.2016 15:41:06";"090";"273330193";"SLB";"СОЛОМОНОВЫ ОСТРОВА";"";"SB";"090";
"21.09.2016 15:41:07";"092";"273330194";"VGB";"ВИРГИНСКИЕ ОСТРОВА, БРИТАНСКИЕ";"Британские Виргинские острова";"VG";"092";
"21.09.2016 15:41:09";"096";"273330195";"BRN";"БРУНЕЙ-ДАРУССАЛАМ";"";"BN";"096";
"21.09.2016 15:41:10";"100";"273330196";"BGR";"БОЛГАРИЯ";"Республика Болгария";"BG";"100";
"21.09.2016 15:41:11";"104";"273330197";"MMR";"МЬЯНМА";"Республика Союза Мьянма";"MM";"104";
"21.09.2016 15:41:11";"108";"273330198";"BDI";"БУРУНДИ";"Республика Бурунди";"BI";"108";
"21.09.2016 15:41:12";"112";"273330199";"BLR";"БЕЛАРУСЬ";"Республика Беларусь";"BY";"112";
"21.09.2016 15:41:12";"116";"273330200";"KHM";"КАМБОДЖА";"Королевство Камбоджа";"KH";"116";
"21.09.2016 15:42:25";"120";"273330201";"CMR";"КАМЕРУН";"Республика Камерун";"CM";"120";
"21.09.2016 15:42:27";"124";"273330202";"CAN";"КАНАДА";"";"CA";"124";
"21.09.2016 15:42:28";"132";"273330203";"CPV";"КАБО-ВЕРДЕ";"Республика Кабо-Верде";"CV";"132";
"21.09.2016 15:42:30";"136";"273330204";"CYM";"ОСТРОВА КАЙМАН";"";"KY";"136";
"21.09.2016 15:42:30";"140";"273330205";"CAF";"ЦЕНТРАЛЬНО-АФРИКАНСКАЯ РЕСПУБЛИКА";"";"CF";"140";
"21.09.2016 15:42:59";"144";"273330206";"LKA";"ШРИ-ЛАНКА";"Демократическая Социалистическая Республика Шри-Ланка";"LK";"144";
"21.09.2016 15:43:03";"152";"273330207";"CHL";"ЧИЛИ";"Республика Чили";"CL";"152";
"21.09.2016 15:43:01";"156";"273330208";"CHN";"КИТАЙ";"Китайская Народная Республика";"CN";"156";
"21.09.2016 15:43:26";"158";"273330209";"TWN";"ТАЙВАНЬ (КИТАЙ)";"";"TW";"158";
"21.09.2016 15:43:29";"162";"273330210";"CXR";"ОСТРОВ РОЖДЕСТВА";"";"CX";"162";
"21.09.2016 15:43:28";"166";"273330211";"CCK";"КОКОСОВЫЕ (КИЛИНГ) ОСТРОВА";"";"CC";"166";
"21.09.2016 15:43:58";"170";"273330212";"COL";"КОЛУМБИЯ";"Республика Колумбия";"CO";"170";
"21.09.2016 15:44:02";"175";"273330213";"MYT";"МАЙОТТА";"";"YT";"175";
"21.09.2016 15:44:00";"178";"273330214";"COG";"КОНГО";"Республика Конго";"CG";"178";
"21.09.2016 15:44:31";"180";"273330215";"COD";"КОНГО, ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА";"Демократическая Республика Конго";"CD";"180";
"21.09.2016 15:44:33";"184";"273330216";"COK";"ОСТРОВА КУКА";"";"CK";"184";
